"","product","gene","function."
"1","class II glutamine amidotransferase",NA,NA
"2","peptidoglycan meso-diaminopimelic acid proteinamidase","dpaA",NA
"3","type II toxin-antitoxin system mRNA interferasetoxin YafQ","yafQ",NA
"4","type II toxin-antitoxin system antitoxin DinJ","dinJ",NA
"5","C40 family peptidase",NA,NA
"6","REP-associated tyrosine transposase RayT","rayT",NA
"7","putative lateral flagellar export/assemblyprotein LafU","lafU",NA
"8","DNA polymerase IV","dinB",NA
"9","type I toxin-antitoxin system antitoxin YafN","yafN",NA
"10","type II toxin-antitoxin system mRNA interferasetoxin YafO","yafO",NA
"11","GNAT family N-acetyltransferase",NA,NA
"12","cytosol nonspecific dipeptidase","pepD",NA
"13","xanthine phosphoribosyltransferase","gpt",NA
"14","esterase FrsA","frsA",NA
"15","sigma factor-binding protein Crl","crl",NA
"16","phosphoporin PhoE","phoE",NA
"17","glutamate 5-kinase","proB",NA
"18","glutamate-5-semialdehyde dehydrogenase","proA",NA
"19","type IV toxin-antitoxin system toxin YkfI","ykfI",NA
"20","type IV toxin-antitoxin system antitoxin YafW","yafW",NA
"21","DUF987 domain-containing protein",NA,NA
"22","RadC family protein",NA,NA
"23","antirestriction protein",NA,NA
"24","DUF905 family protein",NA,NA
"25","protein YkfB","ykfB",NA
"26","YfjS/YafY family lipoprotein","yafY",NA
"27","protein YpjK","ypjK",NA
"28","DUF932 domain-containing protein","yafZ",NA
"29","GTPase family protein","ykfA",NA
"30","LysR substrate-binding domain-containingprotein","perR",NA
"31","IS30-like element IS30 family transposase",NA,NA
"32","IS5-like element IS5 family transposase",NA,NA
"33","S-methylmethionine permease","mmuP",NA
"34","homocysteine S-methyltransferase","mmuM",NA
"35","ferric ABC transporter ATP-binding protein","fbpC",NA
"36","IS1-like element IS1B family transposase",NA,NA
"37","IS1-like element IS1B family transposase",NA,NA
"38","type IV toxin-antitoxin system antitoxin YagB","yagB",NA
"39","IS481-like element ISEc19 family transposase","yagA","Phage or Prophage Related"
"40","2-keto-3-deoxygluconate aldolase","yagE",NA
"41","xylonate dehydratase YagF","yagF",NA
"42","MFS transporter","yagG",NA
"43","glycoside hydrolase family 43 protein","yagH",NA
"44","DNA-binding transcriptional repressor XynR","xynR",NA
"45","ornithine carbamoyltransferase","argF",NA
"46","putative translational regulatory protein ArgL","argL",NA
"47","IS1-like element IS1B family transposase",NA,NA
"48","IS1-like element IS1B family transposase",NA,NA
"49","protein YagJ","yagJ",NA
"50","inovirus Gp2 family protein","yagK",NA
"51","IS3-like element IS2 family transposase",NA,NA
"52","IS3-like element IS2 family transposase",NA,NA
"53","ECF-type sigma factor","yagL",NA
"54","protein YagM","yagM",NA
"55","helix-turn-helix domain-containing protein","ykgV",NA
"56","protein YagN","yagN",NA
"57","integrase family protein","intF",NA
"58","molybdenum cofactor insertion chaperone PaoD","paoD",NA
"59","aldehyde oxidoreductase molybdenum-bindingsubunit PaoC","paoC",NA
"60","aldehyde oxidoreductase FAD-binding subunitPaoB","paoB",NA
"61","aldehyde dehydrogenase iron-sulfur subunit PaoA","paoA",NA
"62","YagU family protein",NA,NA
"63","YkgJ family cysteine cluster protein",NA,NA
"64","capsid protein",NA,NA
"65","fimbrial chaperone EcpE","ecpE",NA
"66","fimbrial adhesin EcpD","ecpD",NA
"67","fimbrial usher EcpC","ecpC",NA
"68","fimbrial chaperone EcpB","ecpB",NA
"69","common pilus major fimbrillin subunit EcpA","ecpA",NA
"70","ECP biosynthesis operon DNA-bindingtranscriptional regulator EcpR","ecpR",NA
"71","protein YkgL","ykgL",NA
"72","type B 50S ribosomal protein L36","ykgO",NA
"73","type B 50S ribosomal protein L31",NA,NA
"74","IS3-like element IS3 family transposase",NA,NA
"75","IS3-like element IS3 family transposase",NA,NA
"76","hypothetical protein",NA,NA
"77","hypothetical protein",NA,NA
"78","Hok/Gef family protein",NA,NA
"79","replication regulatory protein RepA",NA,NA
"80","hypothetical protein",NA,NA
"81","RepA leader peptide Tap","tap",NA
"82","hypothetical protein",NA,NA
"83","recombinase family protein",NA,NA
"84","Tn3-like element ISEc63 family transposase",NA,NA
"85","EAL domain-containing protein",NA,NA
"86","hypothetical protein",NA,NA
"87","polymer-forming cytoskeletal protein",NA,NA
"88","hypothetical protein",NA,NA
"89","IS3-like element IS3 family transposase",NA,NA
"90","IS3-like element IS3 family transposase",NA,NA
"91","IS3-like element IS2 family transposase",NA,NA
"92","IS3-like element IS2 family transposase",NA,NA
"93","hypothetical protein",NA,NA
"94","autotransporter outer membrane beta-barreldomain-containing protein",NA,NA
"95","autotransporter outer membrane beta-barreldomain-containing protein",NA,NA
"96","omptin family outer membrane protease OmpP","ompP",NA
"97","alpha/beta hydrolase",NA,NA
"98","tyrosine-type recombinase/integrase",NA,NA
"99","RepB family plasmid replication initiatorprotein",NA,NA
"100","hypothetical protein",NA,NA
"101","hypothetical protein",NA,NA
"102","nucleotide-binding protein",NA,NA
"103","P-loop NTPase fold protein",NA,NA
"104","transcriptional repressor PifC","pifC",NA
"105","type II toxin-antitoxin system antitoxin CcdA","ccdA",NA
"106","type II toxin-antitoxin system toxin CcdB","ccdB",NA
"107","site-specific integrase",NA,NA
"108","replication initiation protein RepE","repE",NA
"109","plasmid-partitioning protein SopA","sopA",NA
"110","ParB/RepB/Spo0J family plasmid partitionprotein",NA,NA
"111","DUF1281 domain-containing protein",NA,NA
"112","hypothetical protein",NA,NA
"113","DNA methylase",NA,NA
"114","hypothetical protein",NA,NA
"115","DUF1380 family protein",NA,NA
"116","hypothetical protein",NA,NA
"117","antirestriction protein",NA,NA
"118","DUF1380 family protein",NA,NA
"119","hypothetical protein",NA,NA
"120","single-stranded DNA-binding protein",NA,NA
"121","DUF905 family protein",NA,NA
"122","ParB/RepB/Spo0J family partition protein",NA,NA
"123","conjugation system SOS inhibitor PsiB","psiB",NA
"124","plasmid SOS inhibition protein A",NA,NA
"125","type I toxin-antitoxin system Hok family toxin",NA,NA
"126","hypothetical protein",NA,NA
"127","hypothetical protein",NA,NA
"128","DUF932 domain-containing protein",NA,NA
"129","transglycosylase SLT domain-containing protein",NA,NA
"130","conjugal transfer relaxosome DNA-binding proteinTraM","traM",NA
"131","conjugal transfer transcriptional regulatorTraJ","traJ",NA
"132","conjugal transfer relaxosome DNA-bindin proteinTraY","traY",NA
"133","type IV conjugative transfer system pilin TraA","traA",NA
"134","type IV conjugative transfer system proteinTraL","traL",NA
"135","type IV conjugative transfer system proteinTraE","traE",NA
"136","type-F conjugative transfer system secretinTraK","traK",NA
"137","F-type conjugal transfer pilus assembly proteinTraB","traB",NA
"138","conjugal transfer pilus-stabilizing proteinTraP","traP",NA
"139","conjugal transfer protein TrbD",NA,NA
"140","conjugal transfer protein TrbG","trbG",NA
"141","type IV conjugative transfer system lipoproteinTraV","traV","F pilus assembly"
"142","conjugal transfer protein TraR","traR",NA
"143","type IV secretion system protein TraC","traC",NA
"144","type-F conjugative transfer system protein TrbI","trbI",NA
"145","type-F conjugative transfer system protein TraW","traW",NA
"146","conjugal transfer pilus assembly protein TraU","traU",NA
"147","type-F conjugative transfer system pilinassembly protein TrbC","trbC",NA
"148","type-F conjugative transfer system mating-pairstabilization protein TraN","traN",NA
"149","conjugal transfer protein TrbE",NA,NA
"150","type-F conjugative transfer system pilinassembly protein TraF","traF",NA
"151","conjugal transfer protein TrbA","trbA",NA
"152","protein ArtA",NA,NA
"153","type-F conjugative transfer system pilinchaperone TraQ","traQ",NA
"154","type-F conjugative transfer system pilinassembly thiol-disulfide isomerase TrbB","trbB",NA
"155","P-type conjugative transfer protein TrbJ","trbJ",NA
"156","F-type conjugal transfer protein TrbF","trbF",NA
"157","conjugal transfer pilus assembly protein TraH","traH",NA
"158","conjugal transfer mating-pair stabilizationprotein TraG","traG",NA
"159","conjugal transfer entry exclusion protein TraS","traS",NA
"160","conjugal transfer complement resistance proteinTraT","traT",NA
"161","type IV conjugative transfer system couplingprotein TraD","traD",NA
"162","type II toxin-antitoxin system VapC familytoxin",NA,NA
"163","toxin-antitoxin system antitoxin VapB","vapB",NA
"164","conjugative transfer relaxase/helicase TraI","traI",NA
"165","conjugal transfer pilus acetylase TraX","traX",NA
"166","IS3-like element IS3 family transposase",NA,NA
"167","IS3-like element IS3 family transposase",NA,NA
"168","reactive chlorine species resistance proteinRclC","rclC",NA
"169","reactive chlorine resistance periplasmic proteinRclB","rclB",NA
"170","reactive chlorine resistance oxidoreductaseRclA","rclA",NA
"171","reactive chlorine-specific transcriptionalregulator RclR","rclR",NA
"172","heterodisulfide reductase-related iron-sulfurbinding cluster",NA,NA
"173","LutB/LldF family L-lactate oxidation iron-sulfurprotein",NA,NA
"174","LUD domain-containing protein",NA,NA
"175","protein YkgH","ykgH",NA
"176","choline dehydrogenase","betA",NA
"177","betaine-aldehyde dehydrogenase","betB",NA
"178","transcriptional regulator BetI","betI",NA
"179","choline BCCT transporter BetT","betT",NA
"180","protein YahV",NA,NA
"181","DNA-binding transcriptional activator/c-di-GMPphosphodiesterase PdeL","pdeL",NA
"182","LysR substrate-binding domain-containingprotein","yahB",NA
"183","DUF1097 domain-containing protein","yahC",NA
"184","ankyrin repeat domain-containing protein","yahD",NA
"185","DUF2877 domain-containing protein","yahE",NA
"186","acyl-CoA synthetase FdrA","fdrA",NA
"187","DUF1116 domain-containing protein","yahG",NA
"188","protein YahH","yahH",NA
"189","carbamate kinase family protein","yahI",NA
"190","amidohydrolase family protein","yahJ",NA
"191","NADPH-dependent aldehyde reductase YahK","yahK",NA
"192","protein YahL","yahL",NA
"193","protein YahM","yahM",NA
